model	contract	wall_ms	finish	names_enforcer	draws_distinction	conflates	invented	invented_list	outcome
lfm25-350m-qad	swap-append	435	stop	yes	no	no	0	-	fail
lfm25-350m-qad	exec-preflight	91	stop	yes	no	no	0	-	fail
lfm25-350m-qad	usb-ownership	317	stop	no	no	no	1	USB_BUF_CTRL	fail
lfm25-350m-qad	signal-frame	376	stop	yes	yes	no	0	-	pass
lfm25-350m-qad	heap-refusal	101	stop	no	no	no	0	-	fail
lfm25-350m-qad	swapram-exclusion	110	stop	no	no	no	0	-	fail
qwen3-4b-instruct-2507	swap-append	3633	stop	yes	yes	no	0	-	pass
qwen3-4b-instruct-2507	exec-preflight	5415	stop	yes	yes	no	0	-	pass
qwen3-4b-instruct-2507	usb-ownership	2954	stop	yes	yes	no	0	-	pass
qwen3-4b-instruct-2507	signal-frame	5287	stop	yes	yes	no	0	-	pass
qwen3-4b-instruct-2507	heap-refusal	6492	stop	yes	yes	no	1	kern_mman.c	fail
qwen3-4b-instruct-2507	swapram-exclusion	2784	stop	no	yes	no	0	-	fail
qwen38-4b-distill	swap-append	5290	stop	yes	yes	no	0	-	pass
qwen38-4b-distill	exec-preflight	5076	stop	yes	yes	no	0	-	pass
qwen38-4b-distill	usb-ownership	5638	stop	yes	yes	no	0	-	pass
qwen38-4b-distill	signal-frame	5923	stop	no	yes	no	0	-	fail
qwen38-4b-distill	heap-refusal	3984	stop	yes	yes	no	0	-	pass
qwen38-4b-distill	swapram-exclusion	5426	stop	no	yes	no	0	-	fail
contracts_done
