finding_id	conclusion	mechanism	apu_evidence_path	nvidia_status
unaccelerated-integer-dot	RADV reports shaderIntegerDotProduct true while all thirty *Accelerated capability flags read false, so ggml-vulkan.cpp never builds a _q8_1 mat-vec or mat-mat pipeline and roughly 83% of streamed bytes take the FP16-dequantize-then-dot family instead.	ggml-vulkan.cpp:6492 gates device->integer_dot_product on integerDotProduct4x8BitPackedSignedAccelerated alone; the deployed binary carries zero mul_mat_vec_q4_k_q8_1 symbols against seven mul_mat_vec_q4_k_f16 symbols.	evidence/tensor-type-execution-audit.md	unmeasured
4b-kquant-ladder-exhausted	The tested 4B K-quant ladder is exhausted as a performance lever: Q4_K_M beats i1-Q2_K, i1-Q5_K_M, and i1-Q6_K in every block, and Q2_K streams 29.4% fewer bytes per token while decoding no faster.	scripts/run-bandwidth-ladder.sh, four alternating-order sweeps per checkpoint, achieved GB/s and tok/s per block.	evidence/decode-bound-analysis.md	unmeasured
streaming-two-groups	Achieved streaming forms two groups rather than ordering by bit width: a Q4_K trunk and a Q6_K trunk both reach about 8.1 GB/s where a Q5_K trunk reaches 5.9 GB/s.	Per-block achieved GB/s against each checkpoint's dominant K-quant byte share.	evidence/decode-bound-analysis.md	unmeasured
depth16384-submission-geometry	Depth 16384 under the served q8_0/q4_0 cache triple required batch 128 / ubatch 32 because the harness-default batch 2048 / ubatch 512 wedged the amdgpu compute ring on the same tuple; 128/32 and the smaller 32/8 both passed.	scripts/probe-depth-wedge.sh crossing two depths with three submission geometries, ring-reset and fault counts grepped from the kernel log delta, a passing control after every arm.	evidence/depth-versus-submission-geometry.md	unmeasured
08b-low-bit-route-closed	The low-bit route closes at the 0.8B class: three checkpoints decode within 5.2% of each other (15.96, 15.17, 15.31 tok/s) while their streamed bytes per token span 67.9%, across two value formats and two architectures.	scripts/run-bandwidth-ladder.sh at QWEN_BENCH_PREFILL=512, three checkpoints inside one sweep against shared anchors.	evidence/model-admission/runtime-class-throughput.md	unmeasured
hip-requires-sdma-disable	HIP measured 14.06 prefill / 2.22 decode tok/s against RADV Vulkan's 21.49 / 3.10 on the same dual-backend binary, and every HIP invocation required HSA_ENABLE_SDMA=0 or llama_model_loader::load_all_data parked in hipEventSynchronize for 51 minutes.	gdb backtrace placing the hung thread inside hipEventSynchronize inside load_all_data; phase-split llama-bench comparison at matched flags.	evidence/rocm-h0-operational-failure.md	unmeasured
forward-reverse-instability	The same checkpoint under identical flags spanned up to 30.6% between forward and reverse sweep halves on this host.	scripts/run-bandwidth-ladder.sh mirrored forward/reverse sweeps, paired-mean comparison.	evidence/decode-bound-analysis.md	superseded-by:evidence/ada/cuda-runtime-levers.md
nice19-no-directional-cost	A nice 19 vs nice 0 paired comparison under desktop load resolved no directional decode cost: 1.10% paired mean difference in favour of nice 19, two negative pairs, three positive pairs, one exact zero, nominal 95% interval -6.1% to +3.9%.	scripts/run-bandwidth-ladder.sh, twelve arms alternating priority forward and reverse, nice read back from /proc/<pid>/stat.	evidence/scheduling-priority-cost.md	unmeasured
submission-node-count-not-bottleneck	Vulkan submission node count moved decode only 3.5% (1.348 to 1.396 tok/s) across a 16-fold change in nodes per submission, where per-submission fence latency was predicted to dominate; dropping serialization entirely moved decode 102%.	scripts/run-placement-sweep.sh-class harness varying GGML_VK_MAX_NODES_PER_SUBMIT and GGML_VK_SERIALIZE_SUBMISSIONS against one served chat request.	evidence/benchmarks/qwen35-4b-submission-sweep/summary.md	unmeasured
decode-not-linear-in-size	Decode cost is not linear in checkpoint size: a two-point fit over the 4B and 9B predicted 4.82 tok/s at 1.21 GiB of weights, where the 2B measured 9.46.	scripts/run-bandwidth-ladder.sh single-arm measurement of the 2B distill against the fitted two-point model from the 4B and 9B.	evidence/qwen38-2b-distill-candidate.md	unmeasured
mtp-head-modest-gain	The embedded multi-token-prediction head accepts about 93% of its drafts and buys roughly 1.2x decode at n=1, with no patch and no sidecar draft model required.	common/common.cpp sets mparams.load_mtp from params.speculative.types, clearing the TENSOR_SKIP src/models/qwen35.cpp otherwise applies to the appended block; server log confirms n_outputs_max=2 and backend_sampling=1.	evidence/mtp-speculation-matrix.md	superseded-by:evidence/ada/speculation-runtime-classes.md
